shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
226,Nike Adapt BB 2.0,Nike,,2020-02-01,Collector's item for sneakerheads who are into the innovative tech,Low Top,399.99
227,Nike Lebron 17 Low,Nike,Lebron James,2020-02-01,A great choice for Lebron fans who prefer low-tops compared to Lebron's pretty bulky high-tops,Low Top,169.99
228,Adidas Pro Model 2G,Adidas,,2020-02-01,Perfect if you are looking for affordable shoes that work outdoors.,Mid Top,99.99
229,Jordan Why Not Zero.3,Jordan,Russell Westbrook,2020-01-01,Works great for explosive players who like to stand out on the court,High Top,129.99
230,Nike Kobe 5 Protro,Nike,Kobe Bryant,2020-01-01,Must-have shoes for fans of the original Kobe 5,Low Top,179.99
231,Nike PG 4,Nike,Paul George,2020-01-01,Super comfortable and well-cushioned basketball shoes,Low Top,109.99
232,Nike Kyrie Flytrap 3,Nike,Kyrie Irving,2020-01-01,Works best as your outdoor basketball shoes,Low Top,79.99
233,Li-Ning Way of Wade 8,Li-Ning,Dwyane Wade,2020-01-01,Quick players who need a responsive shoe that can keep up,High Top,225.0
234,Under Armour Anatomix Spawn 2,Under Armour,,2020-01-01,Works best for guards with wide feet looking for a responsive shoe,Low Top,99.99
235,Adidas Harden Stepback,Adidas,James Harden,2020-01-01,A great choice for price-conscious guards who like responsive cushioning,Low Top,79.99
236,Adidas Dame 6,Adidas,Damian Lillard,2019-12-01,Works best for guards who play on clean courts most of the time,Low Top,109.99
237,Nike Air Zoom UNVRS,Nike,,2019-12-01,Good choice if you are looking for shoes that are comfortable and easy to put on,High Top,159.99
238,Under Armour Curry 7,Under Armour,Stephen Curry,2019-11-01,Works best for quick guards who value court feel over impact protection,Low Top,139.99
239,Puma Clyde Hardwood,Puma,,2019-11-01,"Great shoe if you are looking for beastly traction and minimal, responsive cushioning",Low Top,119.99
240,New Balance OMN1S,New Balance,,2019-11-01,"A durable performer with comfortable cushioning, good materials, and great traction on clean courts",High Top,139.99
241,Nike Kyrie 6,Nike,Kyrie Irving,2019-11-01,"Great traction and support with a low-to-the-ground, responsive cushioning",High Top,129.99
242,Air Jordan 34,Jordan,Michael Jordan,2019-10-01,A great option if you are looking for a light & stylish shoe with no real weaknesses,High Top,179.99
243,Nike Lebron 17,Nike,Lebron James,2019-10-01,"Top choice if you are looking for a comfortable, supportive shoe with a ton of impact protection",High Top,199.99
244,Adidas Harden Vol. 4,Adidas,James Harden,2019-10-01,"Best for guards looking for a fast, low-to-the-ground, and supportive shoe",Low Top,129.99
245,Adidas D Rose 10,Adidas,Derrick Rose,2019-10-01,Recommended for D-Rose fans who enjoy soft cushioning and play on clean courts,High Top,139.99
246,ANTA KT 5,ANTA,Klay Thompson,2019-10-01,A durable shoe for any position or style of play.,High Top,159.99
247,Nike Lebron Witness 4,Nike,Lebron James,2019-10-01,Only recommended for Lebron fans who can't afford his more expensive signature shoes,High Top,99.99
248,Jordan Jumpman 2020,Jordan,,2019-10-01,A great overall performer that comes at a very affordable retail price,High Top,109.99
249,Nike Zoom Rize,Nike,,2019-09-01,"Suitable for all players, especially big guys looking for support and comfort",High Top,139.99
250,Nike Kobe AD NXT FastFit,Nike,Kobe Bryant,2019-09-01,"Great shoe for quick, low-to-the-ground players who are into futuristic looks",Mid Top,199.99
251,Nike AlphaDunk,Nike,,2019-09-01,"Only works for slow, heavy big guys looking for support and impact protection",High Top,179.99
252,Nike KD Trey 5 VII,Nike,Kevin Durant,2019-08-01,Great shoe if you like soft cushioning and don't need a lot of support,Low Top,89.99
253,Jordan Jumpman Diamond Mid,Jordan,,2019-08-01,Perfect for players who like to stand out on the court,Mid Top,119.99
254,Adidas Pro Bounce 2019 Low,Adidas,,2019-08-01,The Pro Bounce is not recommended due to its lacking traction,Low Top,109.99
255,Jordan Zoom Zero Gravity,Jordan,,2019-08-01,A great shoe for price-conscious hoopers looking for a fast low-top,Low Top,99.99
256,Nike Zoom Freak 1,Nike,Giannis Antetokounmpo,2019-07-01,Very low-to-the-ground feeling with very firm forefoot-cushioning,Low Top,119.99
257,Adidas DON Issue 1,Adidas,Donovan Mitchell,2019-07-01,Recommended for  explosive guards looking for a supportive and responsive low-top,Low Top,99.99
258,Under Armour Curry 3Zero 3,Under Armour,Stephen Curry,2019-07-01,Great budget option for players who prefer lightweight and minimal shoes,Low Top,89.99
259,Under Armour HOVR Havoc 2,Under Armour,,2019-07-01,Best for players looking for a supportive shoe with well-balanced cushioning,High Top,119.99
260,Nike Lebron Soldier 13,Nike,Lebron James,2019-07-01,A great all-around performer that works very well for heavier players,High Top,139.99
261,Converse All Star Pro BB,Converse,,2019-06-01,Perfect for narrow-footers who like light and responsive shoes,High Top,139.99
