store_id,shoe_id,price,link
3,26,42.97,https://www.anrdoezrs.net/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fgiannis-immortality-4-halloween-basketball-shoes-GsgTAUPm%2FFQ3680-301%3Fnikegos%3Dtrue&sid=price_comp_price
1,26,85.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=Q368000411&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FQ3680004.html&intsrc=CATF_5700&subid1=price_comp_price
6,27,48.97,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnew-balance-two-wxy-v5-basketball-shoes-24nwbatwwxyv5whtxmns%2F24nwbatwwxyv5whtxmns%3Fsku%3D25436536&subid1=price_comp_price
5,27,70.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=BB2WYEG5-45&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnew-balance-two-wxy-v5-bleached-lime-glo-pixel-green-hi-lite-bb2wyeg5%3Fcurrency%3DUSD%26variant%3D44001013399747&intsrc=CATF_11961&subid1=price_comp_price
6,28,81.99,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fanta-kai-1-speed-basketball-shoes-25voqak1spdcndspdmns%2F25voqak1spdcndspdmns%3Fsku%3D26958892&subid1=price_comp_price
1,28,125.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=24D1120110.5&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2F24D11201.html&intsrc=CATF_5700&subid1=price_comp_price
3,29,78.97,https://www.anrdoezrs.net/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fluka-3-photo-finish-basketball-shoes-R7hgWx%2FHQ5054-107%3Fnikegos%3Dtrue&sid=price_comp_price
6,29,79.97,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fjordan-luka-3-basketball-shoes-24jdnalk3pnkgldjdmns%2F24jdnalk3pnkgldjdmns%3Fsku%3D26004758&subid1=price_comp_price
7,29,99.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=Z246410010&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FZ2464100.html&intsrc=CATF_5705&subid1=price_comp_price
6,30,104.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fair-jordan-xxxix-basketball-shoes-24jdnaj39crxxxxxxmns%2F24jdnaj39crxxxxxxmns%3Fsku%3D26071535&subid1=price_comp_price
